No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur pahlawan,Lintang pahlawan,Jarak pusat kota,Jarak_pusat_kota2
17,,Pakai,Pasar,Pusat,Strategis,Bagus,1735,NAMBANGAN LOR,MANGUHARJO,PAKAI,Jl. Mayjend Sungkono,Dinas Pasar,1735,30751,38274,Sewa - Kota,111.512516666667,7.6379,111.520149,7.624574,1088,1703.88623770332
71,,Pakai,Taman,Pusat,Strategis,Kosong,1700,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1700,31210,37340,,111.520166666667,7.62233333333333,111.520149,7.624574,837,249.158163154699
72,,Pakai,Taman,Pusat,Strategis,Kosong,1624,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1624,31186,37337,,111.519766666667,7.62228333333333,111.520149,7.624574,824,258.172275184116
33,,Sewa,Ruko,Pusat,Strategis,Sedang,1531,PANDEAN,TAMAN,HPL,Jl. Kutai-Agus Salim,,1531,31042,37877,Pakai PasarKota,111.517366666667,7.63128333333333,111.520149,7.624574,253,806.604368386354
7,,Pakai,Kantor,Pusat,Strategis,Bagus,1492,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Dr. Sutomo No. 70,DPRD,1492,31403,37675,Sewa - Kota,111.523383333333,7.62791666666667,111.520149,7.624574,737,514.990494092802
18,,Pakai,Pasar,Pusat,Strategis,Bagus,1490,KANIGORO,KARTOHARJO,PAKAI,Jl.Dr.Setiabudi,Dinas pasar,1490,32892,38113,Sewa - Kota,111.5482,7.63521666666667,111.520149,7.624574,3527,3310.27145511668
14,,Pakai,Pasar,Pusat,Strategis,Bagus,1380,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Dinas Pasar,1380,32002,37221,Sewa - Kota,111.533366666667,7.62035,111.520149,7.624574,2068,1530.59589491626
23,,Pakai,Pasar,Pusat,Strategis,Bagus,1320,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Dinas Pasar,1320,31300,37145,,111.521666666667,7.61908333333333,111.520149,7.624574,1235,633.031833631893
58,,Pakai,Kantor,Pusat,Strategis,Bagus,1217,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Sumatra No. 20,Bagian Umum,1217,31360,37246,,111.522666666667,7.62076666666667,111.520149,7.624574,1128,506.185701746892
57,,Pakai,Kantor,Pinggir,Strategis,Bagus,1192,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Sumatra No. 22,Bagian perlengkapan,1192,31369,37254,,111.522816666667,7.6209,111.520149,7.624574,1126,503.327080123526
41,,Sewa,Ruko,Pusat,Strategis,Sedang,1150,MOJOREJO,TAMAN,PAKAI,Jl. Mastrip - Letjen. Haryono,dinas pasar,1150,31958,37972,Pakai PasarKota,111.532633333333,7.63286666666667,111.520149,7.624574,1795,1656.31838891492
84,,Pakai,Kantor,Pinggir,Strategis,Bagus,997,MOJOREJO,TAMAN,PAKAI,Jl. Dr. Setia Budi,Mojorejo,997,32102,37965,,111.535033333333,7.63275,111.520149,7.624574,2050,1875.49153017312
21,,Pakai,Pasar,Pusat,Sedang,Bagus,947,MANGUHARJO,MANGUHARJO,PAKAI,Jl. Hayam Wuruk,Dinas Pasar,947,30560,37723,,111.509333333333,7.62871666666667,111.520149,7.624574,824,1277.91788911604
16,,Pakai,Pasar,Pusat,Strategis,Bagus,905,MANISREJO,TAMAN,PAKAI,Jl. Tanjung Raya,Dinas Pasar,905,32800,38610,Sewa - Kota,111.546666666667,7.6435,111.520149,7.624574,3661,3601.35740234029
34,,Sewa,Ruko,Pusat,Sedang,Sedang,865,PANDEAN,TAMAN,HPL,Jl. Musi,Pandean,865,31114,38391,Pakai PasarKota,111.518566666667,7.63985,111.520149,7.624574,1213,1707.54062985571
78,,Sewa,Ruko,Pusat,Strategis,Sedang,754,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Diponegoro No. 34,DKK,754,31782,37408,,111.5297,7.62346666666667,111.520149,7.624574,1553,1059.81056043281
92,,Pakai,Kantor,Pinggir,Strategis,Bagus,710,DEMANGAN,TAMAN,PAKAI,Jl.jati siwur,Demangan,710,31562,39672,,111.526033333333,7.6612,111.520149,7.624574,3713,4123.9295524694
93,,Pakai,Kantor,Pinggir,Strategis,Bagus,600,DEMANGAN,TAMAN,PAKAI,Jl. Jati Siwur RT 14,Demangan,600,31419,39670,,111.52365,7.66116666666667,111.520149,7.624574,3647,4087.16789255501
76,,Pakai,Ruko,Pusat,Sedang,Sedang,599,BANJAREJO,TAMAN,PAKAI,,UPTD TAMAN,599,31787,38986,,111.529783333333,7.64976666666667,111.520149,7.624574,2709,2995.7700198746
