No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Visibilitas_2,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur pahlawan,Lintang pahlawan,Jarak pusat kota,Jarak pusat kota2
84,,Pakai,Kantor,Pinggir,Sedang,Bagus,997,MOJOREJO,TAMAN,PAKAI,10,Jl. Dr. Setia Budi,Mojorejo,997,32102,37965,,111.535033333333,7.63275,111.520149,7.624574,2050,1875.49153017312
16,,Pakai,Pasar,Pusat,Strategis,Bagus,905,MANISREJO,TAMAN,PAKAI,200,Jl. Tanjung Raya,Dinas Pasar,905,32800,38610,Sewa - Kota,111.546666666667,7.6435,111.520149,7.624574,3661,3601.35740234029
21,,Pakai,Pasar,Pusat,Strategis,Bagus,947,MANGUHARJO,MANGUHARJO,PAKAI,10,Jl. Hayam Wuruk,Dinas Pasar,947,30560,37723,,111.509333333333,7.62871666666667,111.520149,7.624574,824,1277.91788911604
65,,Pakai,Sawah,Pinggir,Kurang,Tidak,5720,MANGUHARJO,MANGUHARJO,PAKAI,202,Blok Sawah,Manguharjo,5720,30204,37264,,111.5034,7.62106666666667,111.520149,7.624574,1725,1886.69196171815
36,,Sewa,Ruko,Pusat,Strategis,Bagus,3775,MANGUHARJO,MANGUHARJO,MILIK,12,Blok Jatengan Kidul,Manguharjo,3775,30322,37975,Pakai PasarKota,111.505366666667,7.63291666666667,111.520149,7.624574,1330,1874.76737905148
35,,Sewa,Ruko,Pusat,Strategis,Bagus,3720,MANGUHARJO,MANGUHARJO,MILIK,13,Blok Jatengan Kidul,Manguharjo,3720,30411,37989,Pakai PasarKota,111.50685,7.63315,111.520149,7.624574,1186,1748.6041646732
,,Pakai,Ruko,Pusat,Sedang,Sedang,175,MADIUN LOR,MANGUHARJO,PAKAI,50,Jl.Sumatra no.33,,175,31286,37237,,111.521433333333,7.62061666666667,111.520149,7.624574,1071,462.241287795236
,,Sewa,Ruko,Pusat,Strategis,Bagus,311,MADIUN LOR,MANGUHARJO,PAKAI,5,Jl.Pahlawan no 19,,311,31258,37256,,111.520966666667,7.62093333333333,111.520149,7.624574,1016,414.732403263904
70,,Pakai,Taman,Pusat,Strategis,Kosong,1945,MADIUN LOR,MANGUHARJO,PAKAI,50,jl.Jawa,,1945,31404,37392,,111.5234,7.6232,111.520149,7.624574,978,389.512973971192
57,,Pakai,Kantor,Pinggir,Sedang,Bagus,1192,MADIUN LOR,MANGUHARJO,PAKAI,50,Jl. Sumatra No. 22,Bagian perlengkapan,1192,31369,37254,,111.522816666667,7.6209,111.520149,7.624574,1126,503.327080123526
58,,Pakai,Ruko,Pusat,Sedang,Sedang,1217,MADIUN LOR,MANGUHARJO,PAKAI,51,Jl. Sumatra No. 20,Bagian Umum,1217,31360,37246,,111.522666666667,7.62076666666667,111.520149,7.624574,1128,506.185701746892
71,,Pakai,Taman,Pusat,Strategis,Kosong,1700,MADIUN LOR,MANGUHARJO,PAKAI,5,Jl. Pahlawan,Madiun Lor,1700,31210,37340,,111.520166666667,7.62233333333333,111.520149,7.624574,837,249.158163154699
72,,Pakai,Taman,Pusat,Strategis,Kosong,1624,MADIUN LOR,MANGUHARJO,PAKAI,5,Jl. Pahlawan,Madiun Lor,1624,31186,37337,,111.519766666667,7.62228333333333,111.520149,7.624574,824,258.172275184116
23,,Pakai,Pasar,Pusat,Strategis,Bagus,1320,MADIUN LOR,MANGUHARJO,PAKAI,5,Jl. Pahlawan,Dinas Pasar,1320,31300,37145,,111.521666666667,7.61908333333333,111.520149,7.624574,1235,633.031833631893
80,,Sewa,Ruko,Pusat,Strategis,Bagus,270,MADIUN LOR,MANGUHARJO,PAKAI,10,Jl. Candi Sewu,DKK,270,31302,36899,,111.5217,7.61498333333333,111.520149,7.624574,1658,1080.04584504002
12,,Sewa,Pasar,Pusat,Strategis,Bagus,14060,KLEGEN,KARTOHARJO,HPL,10,Jl. Imam Bonjol Slamet Riadi,Dinas pasar,14060,32258,37541,Sewa - Kota,111.537633333333,7.62568333333333,111.520149,7.624574,2327,1930.92018486508
56,,Pakai,Ruko,Pusat,Sedang,Sedang,335,KLEGEN,KARTOHARJO,PAKAI,10,Jl. Husni Thamrin Gg Sri Gading,Klegen,335,31974,37654,,111.5329,7.62756666666667,111.520149,7.624574,1782,1444.1665415063
29,,Sewa,Ruko,Pusat,Strategis,Bagus,3614,KLEGEN,KARTOHARJO,HGB,10,Jl. Hercules,Bagian perlengkapan,3614,32404,37865,Sewa Kota,111.540066666667,7.63108333333333,111.520149,7.624574,2574,2311.39544553012
30,,Sewa,Ruko,Pusat,Strategis,Bagus,87580,KLEGEN,KARTOHARJO,HGB,10,Jl. Dr. setia Budi - Slamet Riadi,Bagian perlengkapan,87580,32516,38002,,111.541933333333,7.63336666666667,111.520149,7.624574,2811,2592.30503378532
26,,Sewa,Perumahan,Sedang,Kurang,Sedang,87580,KLEGEN,KARTOHARJO,HGB,100,JL SLAMET RIYADI DAN JL SETIABUDI,AURI,87580,32380,37898,Sewa Kota,111.539666666667,7.63163333333333,111.520149,7.624574,2536,2289.80680375148
27,,Sewa,Perumahan,Sedang,Kurang,Sedang,57945,KELUN,KARTOHARJO,HGB,500,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,57945,33257,36147,Sewa Kota,111.554283333333,7.60245,111.520149,7.624574,5083,4495.0384772562
28,,Sewa,Perumahan,Sedang,Kurang,Sedang,16590,KELUN,KARTOHARJO,HGB,500,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,16590,33315,36214,Sewa Kota,111.55525,7.60356666666667,111.520149,7.624574,5100,4519.16051272806
88,,Pakai,Taman,Pusat,Strategis,Kosong,17033,KEJURON,TAMAN,PAKAI,300,Jl. Kapten Saputro,Kejuron,17033,31608,38061,,111.5268,7.63435,111.520149,7.624574,1248,1311.09148429186
87,,Pakai,Kantor,Pinggir,Sedang,Bagus,1867,KEJURON,TAMAN,PAKAI,10,Jl. Kapten Saputro,Kejuron,1867,31548,38111,,111.5258,7.63518333333333,111.520149,7.624574,1202,1334.00808728494
86,,Pakai,Kantor,Pinggir,Sedang,Bagus,260,KEJURON,TAMAN,PAKAI,10,Jl. Kapten Saputro,Kejuron,260,31546,38105,,111.525766666667,7.63508333333333,111.520149,7.624574,1192,1322.46115393569
20,,Pakai,Ruko,Pusat,Sedang,Sedang,421,KEJURON,TAMAN,PAKAI,10,Jl. Jend Sudirman no.77,Dinas pasar,421,31444,37885,Sewa - Kota,111.524066666667,7.63141666666667,111.520149,7.624574,842,874.840951520629
11,,Sewa,Pasar,Pusat,Strategis,Bagus,15710,KEJURON,TAMAN,HPL,10,Jl. Jend Sudirman,Dinas Pasar,15710,31278,37882,Sewa - Kota,111.5213,7.63136666666667,111.520149,7.624574,557,765.887685516296
66,,Pakai,Sawah,Pinggir,Kurang,Tidak,6635,KEJURON,TAMAN,PAKAI,5000,Blok Sawah Koci,Kejuron,6635,30042,38418,,111.5007,7.6403,111.520149,7.624574,2169,2766.26715536071
69,,Pakai,Sawah,Pinggir,Kurang,Tidak,6065,KEJURON,TAMAN,PAKAI,5000,Blok Sawah Koci,Mojorejo,6065,29877,38175,,111.49795,7.63625,111.520149,7.624574,2225,2769.70239168831
68,,Pakai,Sawah,Pinggir,Kurang,Tidak,2370,KEJURON,TAMAN,PAKAI,5000,Blok Sawah Koci,Mojorejo,2370,30312,38194,,111.5052,7.63656666666667,111.520149,7.624574,1525,2119.58588453945
67,,Pakai,Sawah,Pinggir,Kurang,Tidak,7745,KEJURON,TAMAN,PAKAI,5000,Blok sawah,Mojorejo,7745,30225,38133,,111.50375,7.63555,111.520149,7.624574,1608,2180.83290301748
6,,Pakai,Ruko,Pusat,Strategis,Sedang,2235,KARTOHARJO,KARTOHARJO,PAKAI,52,Jl. Sulawesi 18,Kartoharjo,2235,31336,37666,Sewa - Kota,111.522266666667,7.62776666666667,111.520149,7.624574,620,424.855255725181
4,,Pakai,Kantor,Pusat,Strategis,Bagus,5070,KARTOHARJO,KARTOHARJO,PAKAI,50,Jl. Perintis Kemerdekaan,DPRD,5070,31306,37492,Sewa - Kota,111.521766666667,7.62486666666667,111.520149,7.624574,721,181.231531646404
8,,Sewa,Pasar,Pusat,Strategis,Bagus,5785,KARTOHARJO,KARTOHARJO,HPL,5,Jl. Pahlawan dan Kalimantan,Bagian perlengkapan,5785,31228,37609,Sewa - Kota,111.520466666667,7.62681666666667,111.520149,7.624574,476,251.81858713018
5,,Sewa,Pasar,Pusat,Strategis,Bagus,6025,KARTOHARJO,KARTOHARJO,PAKAI,5,Jl. Pahlawan 33,Bagian Umum,6025,31242,37483,Sewa - Kota,111.5207,7.62471666666667,111.520149,7.624574,648,62.7645317243954
7,,Pakai,Kantor,Pusat,Strategis,Bagus,1492,KARTOHARJO,KARTOHARJO,PAKAI,10,Jl. Dr. Sutomo No. 70,DPRD,1492,31403,37675,Sewa - Kota,111.523383333333,7.62791666666667,111.520149,7.624574,737,514.990494092802
18,,Pakai,Pasar,Pusat,Strategis,Bagus,1490,KANIGORO,KARTOHARJO,PAKAI,5,Jl.Dr.Setiabudi,Dinas pasar,1490,32892,38113,Sewa - Kota,111.5482,7.63521666666667,111.520149,7.624574,3527,3310.27145511668
74,,Sewa,Sawah,Pinggir,Kurang,Tidak,2786,KANIGORO,KARTOHARJO,MILIK,200,Jl. Sri Sedono,KANIGORO,2786,33124,38056,,111.552066666667,7.63426666666667,111.520149,7.624574,3929,3679.06776673468
59,,Sewa,Sawah,Pinggir,Kurang,Tidak,5700,JOSENAN,TAMAN,MILIK,2000,Sawah Blok Serandu,Josenan,5700,30473,40297,,111.507883333333,7.67161666666667,111.520149,7.624574,4831,5402.7351382834
79,,Sewa,Ruko,Pusat,Strategis,Bagus,229,JOSENAN,TAMAN,PAKAI,102,Jl. Tilampil,DKK,229,30952,39189,,111.515866666667,7.65315,111.520149,7.624574,2678,3212.36101250404
89,,Pakai,Sawah,Pinggir,Kurang,Tidak,4905,JOSENAN,TAMAN,PAKAI,2500,Blok Sawah Kurupati,Patihan,4905,30529,40454,,111.508816666667,7.67423333333333,111.520149,7.624574,5097,5661.33038123695
90,,Pakai,Sawah,Pinggir,Kurang,Tidak,45000,JOSENAN,TAMAN,PAKAI,2000,,Namb. Lor,45000,30430,40104,,111.507166666667,7.6684,111.520149,7.624574,4499,5078.9086900887
92,,Pakai,Kantor,Pinggir,Sedang,Bagus,710,DEMANGAN,TAMAN,PAKAI,200,Jl.jati siwur,Demangan,710,31562,39672,,111.526033333333,7.6612,111.520149,7.624574,3713,4123.9295524694
93,,Pakai,Kantor,Pinggir,Sedang,Bagus,600,DEMANGAN,TAMAN,PAKAI,10,Jl. Jati Siwur RT 14,Demangan,600,31419,39670,,111.52365,7.66116666666667,111.520149,7.624574,3647,4087.16789255501
42,,Pakai,Ruko,Pusat,Sedang,Sedang,1200,DEMANGAN,TAMAN,PAKAI,11,Jalan mangkuprajan gang VI,Demangan,,31454,39140,Pakai Sawah,111.524233333333,7.65233333333333,111.520149,7.624574,2712,3119.34234160536
